year,month,snapshot_day,method,already_funded,projected_pipeline,projected,actual,error_pct,direction,training_mode
2025,5,22,ML,79391603.0,45510894.53132273,124902497.53132273,118258736.0,5.617987944098044,over,fixed
2025,6,0,Transition Tables,0.0,73337308.45381336,73337308.45381336,120863998.0,-39.32245361119582,under,fixed
2025,6,0,ML,0.0,126004723.48142959,126004723.48142959,120863998.0,4.253314110484407,over,fixed
2025,6,1,Transition Tables,0.0,75067390.63938132,75067390.63938132,120863998.0,-37.8910247207102,under,fixed
2025,6,1,ML,0.0,126387988.18543848,126387988.18543848,120863998.0,4.570418219525126,over,fixed
2025,6,8,Transition Tables,27248921.0,81670296.63524541,108919217.63524541,120863998.0,-9.88282744440953,under,fixed
2025,6,8,ML,27248921.0,114765498.14719668,142014419.14719668,120863998.0,17.499355885279154,over,fixed
2025,6,15,Transition Tables,51389232.0,80684036.79550055,132073268.79550055,120863998.0,9.274284303834254,over,fixed
2025,6,15,ML,51389232.0,81353715.64843142,132742947.64843142,120863998.0,9.828360673979542,over,fixed
2025,6,22,Transition Tables,71715380.0,92024678.01426119,163740058.0142612,120863998.0,35.47463324377304,over,fixed
2025,6,22,ML,71715380.0,55954520.22329874,127669900.22329874,120863998.0,5.6310417791232945,over,fixed
2025,7,0,Transition Tables,0.0,79634762.78098989,79634762.78098989,140961218.0,-43.505906155698874,under,fixed
2025,7,0,ML,0.0,121087560.17349795,121087560.17349795,140961218.0,-14.098670619107487,under,fixed
2025,7,1,Transition Tables,4668630.0,78301253.72537175,82969883.72537175,140961218.0,-41.139921389320186,under,fixed
2025,7,1,ML,4668630.0,119072848.22750317,123741478.22750317,140961218.0,-12.215941389281152,under,fixed
2025,7,8,Transition Tables,25416795.0,80953021.16619992,106369816.16619992,140961218.0,-24.539658726416565,under,fixed
2025,7,8,ML,25416795.0,112058343.46896121,137475138.4689612,140961218.0,-2.4730770494894494,under,fixed
2025,7,15,Transition Tables,59876880.0,86115983.5098839,145992863.50988388,140961218.0,3.569524711317322,over,fixed
2025,7,15,ML,59876880.0,83270493.64574549,143147373.6457455,140961218.0,1.5508915691587497,over,fixed
2025,7,22,Transition Tables,92463867.0,79795505.98256391,172259372.9825639,140961218.0,22.203380069093836,over,fixed
2025,7,22,ML,92463867.0,49301222.65831271,141765089.6583127,140961218.0,0.5702785984104566,over,fixed
2025,8,0,Transition Tables,0.0,68021459.83748674,68021459.83748674,130656102.0,-47.938551054058884,under,fixed
2025,8,0,ML,0.0,110747998.23226225,110747998.23226225,130656102.0,-15.237025644418617,under,fixed
2025,8,1,Transition Tables,2644609.0,70952743.8703613,73597352.8703613,130656102.0,-43.670940932891675,under,fixed
2025,8,1,ML,2644609.0,111383210.063384,114027819.063384,130656102.0,-12.726755721379169,under,fixed
2025,8,8,Transition Tables,28525961.0,78308771.14453572,106834732.14453572,130656102.0,-18.23211429915786,under,fixed
2025,8,8,ML,28525961.0,103937904.02860841,132463865.02860841,130656102.0,1.3836039809364675,over,fixed
2025,8,15,Transition Tables,53720271.0,84418563.10937706,138138834.10937706,130656102.0,5.727043739125982,over,fixed
2025,8,15,ML,53720271.0,85348843.94440262,139069114.94440264,130656102.0,6.43905092500206,over,fixed
2025,8,22,Transition Tables,82466416.0,95273687.13391212,177740103.13391212,130656102.0,36.03658796885898,over,fixed
2025,8,22,ML,82466416.0,59787262.31711428,142253678.3171143,130656102.0,8.876413837230727,over,fixed
2025,9,0,Transition Tables,0.0,79843175.20832597,79843175.20832597,139834285.0,-42.90157438261585,under,fixed
2025,9,0,ML,0.0,116497788.09411381,116497788.09411381,139834285.0,-16.68868039471592,under,fixed
2025,9,1,Transition Tables,0.0,80845714.70780903,80845714.70780903,139834285.0,-42.18462610381351,under,fixed
